Recipe Name,Recipe Photo,Prepare Time,Cook Time,Total Time,RecipeID,Servings
No Bake Cheesecake I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/436044.jpg,30,NULL,120,7270,8
Pumpkin Pie Cake I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1054779.jpg,NULL,NULL,NULL,7271,24
Awesome Carrot Cake with Cream Cheese Frosting Recipe ,https://images.media-allrecipes.com/userphotos/560x315/2806293.jpg,30,40,100,7272,24
Chantilly Cake Frosting Recipe ,https://images.media-allrecipes.com/userphotos/250x250/2139.jpg,NULL,NULL,NULL,7273,24
Plum Bread Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1345950.jpg,20,50,80,7274,16
'Mom''s Carrot Cake Recipe ',https://images.media-allrecipes.com/userphotos/250x250/371178.jpg,NULL,NULL,NULL,7275,18
Easy Lemon Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/20604.jpg,NULL,NULL,NULL,7276,24
French Buttercream Frosting Recipe ,https://images.media-allrecipes.com/userphotos/560x315/32763.jpg,NULL,NULL,NULL,7277,12
Brownie Torte Recipe ,https://images.media-allrecipes.com/userphotos/250x250/77084.jpg,NULL,NULL,NULL,7278,12
The Easiest Chocolate Cake Recipe ,https://images.media-allrecipes.com/images/79591.png,NULL,NULL,NULL,7280,18
Chocolate Cherry Cake I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/2140060.jpg,NULL,NULL,NULL,7281,18
Pecan Pound Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/281512.jpg,NULL,NULL,NULL,7282,14
Easy Streusel Coffee Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/307696.jpg,NULL,NULL,NULL,7283,12
Microwave Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/208647.jpg,NULL,NULL,NULL,7285,12
Creme de Menthe Cake I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/337296.jpg,NULL,NULL,NULL,7286,14
Lick Your Lips Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/573978.jpg,NULL,NULL,NULL,7287,18
Dump Cake I Recipe ,https://images.media-allrecipes.com/userphotos/560x315/216873.jpg,10,40,50,7288,24
'Miss Beth''s Yoghurt Cake Recipe ',https://images.media-allrecipes.com/userphotos/250x250/485093.jpg,NULL,NULL,NULL,7290,18
Angelo Cake Recipe ,https://images.media-allrecipes.com/images/79591.png,30,90,120,7291,12
Cherry Nut Cake I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/844547.jpg,5,45,50,7292,24
Quick Fudge Icing Recipe ,https://images.media-allrecipes.com/userphotos/560x315/3519410.jpg,NULL,NULL,NULL,7293,8
Chocolate Cherry Upside Down Cake Recipe ,https://images.media-allrecipes.com/userphotos/250x250/183888.jpg,NULL,NULL,NULL,7294,24
Chocolate Pound Cake I Recipe ,https://images.media-allrecipes.com/userphotos/250x250/353962.jpg,NULL,NULL,NULL,7295,14
Quick Black Forest Cake Recipe ,https://images.media-allrecipes.com/userphotos/560x315/1133841.jpg,NULL,NULL,NULL,7296,18
